City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Severomuysk,RU,56.1481,113.4267,64.42,62,71,6.13,light rain
171,Fallon,US,39.4735,-118.7774,91.27,9,0,3.44,clear sky
172,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.8,99,100,2.19,overcast clouds
173,Nayoro,JP,44.3506,142.4578,66.09,89,100,2.15,overcast clouds
174,Salalah,OM,17.0151,54.0924,77.09,88,100,6.91,overcast clouds
175,Geraldton,AU,-28.7667,114.6,63.01,63,2,10.36,clear sky
176,Caxias Do Sul,BR,-29.1681,-51.1794,57.31,96,100,3.4,light rain
177,Ostrozska Nova Ves,CZ,49.0043,17.4363,70.16,96,100,5.35,overcast clouds
178,Okhotsk,RU,59.3833,143.3,57.69,94,100,15.28,light rain
179,Aksha,RU,50.2814,113.2867,78.96,41,68,7.81,broken clouds
180,Kavaratti,IN,10.5669,72.642,81.05,77,97,15.64,overcast clouds
181,Fagernes,NO,60.9858,9.2324,48.92,97,90,1.48,overcast clouds
182,Khandbari,NP,27.3747,87.2039,73.24,92,100,1.83,overcast clouds
183,Husavik,IS,66.0449,-17.3389,44.35,94,97,1.28,overcast clouds
184,Ribeira Grande,PT,38.5167,-28.7,73.44,89,12,5.23,few clouds
185,Port Elizabeth,ZA,-33.918,25.5701,52.11,90,20,11.5,few clouds
186,Yerbogachen,RU,61.2767,108.0108,75.54,60,85,7.56,overcast clouds
187,Clyde River,CA,70.4692,-68.5914,46.63,81,100,4.61,overcast clouds
188,Kerman,IR,30.2832,57.0788,73.26,18,0,0.0,clear sky
189,Andenes,NO,69.3143,16.1194,49.98,81,100,4.61,overcast clouds
190,Burnie,AU,-41.0667,145.9167,56.91,87,94,4.97,overcast clouds
191,Saint-Raymond,CA,45.467,-73.6095,80.92,61,40,10.36,scattered clouds
192,Cayenne,GF,4.9333,-52.3333,83.08,3,20,0.0,few clouds
193,Sapa,PH,5.1544,120.3241,85.35,69,68,8.68,broken clouds
194,Hovd,MN,48.0056,91.6419,66.99,33,41,4.18,scattered clouds
195,Haimen,CN,23.1935,116.6142,94.89,68,0,6.13,clear sky
196,Prince Rupert,CA,54.3161,-130.3201,59.09,84,75,5.75,broken clouds
197,San Juan,AR,-31.5375,-68.5364,58.77,27,0,3.69,clear sky
198,Lucapa,AO,-8.4192,20.7447,65.17,42,12,4.56,few clouds
